episode,task_id,seed,reward,violations,terminal_reason,fuel_exhaustions
0,easy,42,-10.092500,1,fuel_exhaustion,1
1,medium,43,-10.566000,2,fuel_exhaustion,2
2,hard,44,-6.840500,1,fuel_exhaustion,1
3,easy,45,-10.092500,1,fuel_exhaustion,1
4,medium,46,-10.566000,2,fuel_exhaustion,2
5,hard,47,-6.840500,1,fuel_exhaustion,1
6,easy,48,-10.092500,1,fuel_exhaustion,1
7,medium,49,-10.566000,2,fuel_exhaustion,2
8,hard,50,-6.840500,1,fuel_exhaustion,1
9,easy,51,-10.092500,1,fuel_exhaustion,1
10,medium,52,-10.566000,2,fuel_exhaustion,2
11,hard,53,-6.840500,1,fuel_exhaustion,1
12,easy,54,-10.092500,1,fuel_exhaustion,1
13,medium,55,-10.566000,2,fuel_exhaustion,2
14,hard,56,-6.840500,1,fuel_exhaustion,1
15,easy,57,-10.092500,1,fuel_exhaustion,1
16,medium,58,-10.566000,2,fuel_exhaustion,2
17,hard,59,-6.840500,1,fuel_exhaustion,1
18,easy,60,-10.092500,1,fuel_exhaustion,1
19,medium,61,-10.566000,2,fuel_exhaustion,2
20,hard,62,-2.462500,1,fuel_exhaustion,1
21,easy,63,3.474000,0,mission_complete,0
22,medium,64,4.428000,0,mission_complete,0
23,hard,65,-2.462500,1,fuel_exhaustion,1
24,easy,66,3.474000,0,mission_complete,0
25,medium,67,4.428000,0,mission_complete,0
26,hard,68,-2.462500,1,fuel_exhaustion,1
27,easy,69,3.474000,0,mission_complete,0
28,medium,70,4.428000,0,mission_complete,0
29,hard,71,-2.462500,1,fuel_exhaustion,1
30,easy,72,3.474000,0,mission_complete,0
31,medium,73,4.428000,0,mission_complete,0
32,hard,74,-2.462500,1,fuel_exhaustion,1
33,easy,75,3.474000,0,mission_complete,0
34,medium,76,4.428000,0,mission_complete,0
35,hard,77,-2.462500,1,fuel_exhaustion,1
36,easy,78,3.474000,0,mission_complete,0
37,medium,79,4.428000,0,mission_complete,0
38,hard,80,-2.462500,1,fuel_exhaustion,1
39,easy,81,3.474000,0,mission_complete,0
40,medium,82,4.428000,0,mission_complete,0
41,hard,83,-2.462500,1,fuel_exhaustion,1
42,easy,84,3.474000,0,mission_complete,0
43,medium,85,4.428000,0,mission_complete,0
44,hard,86,-2.462500,1,fuel_exhaustion,1
45,easy,87,3.474000,0,mission_complete,0
46,medium,88,4.428000,0,mission_complete,0
47,hard,89,-2.462500,1,fuel_exhaustion,1
48,easy,90,3.474000,0,mission_complete,0
49,medium,91,4.428000,0,mission_complete,0
50,hard,92,-2.462500,1,fuel_exhaustion,1
51,easy,93,3.474000,0,mission_complete,0
52,medium,94,4.428000,0,mission_complete,0
53,hard,95,-2.462500,1,fuel_exhaustion,1
54,easy,96,3.474000,0,mission_complete,0
55,medium,97,4.428000,0,mission_complete,0
56,hard,98,-2.462500,1,fuel_exhaustion,1
57,easy,99,3.474000,0,mission_complete,0
58,medium,100,4.428000,0,mission_complete,0
59,hard,101,-2.462500,1,fuel_exhaustion,1
